symbol,name,market
2347,聯強國際股份有限公司,TW
2348,海悅國際開發股份有限公司,TW
2349,錸德科技股份有限公司,TW
2351,順德工業股份有限公司,TW
2352,佳世達科技股份有限公司,TW
2353,宏碁股份有限公司,TW
2354,鴻準精密工業股份有限公司,TW
2355,敬鵬工業股份有限公司,TW
2356,英業達股份有限公司,TW
2357,華碩電腦股份有限公司,TW
2359,所羅門股份有限公司,TW
2360,致茂電子股份有限公司,TW
2362,藍天電腦股份有限公司,TW
2363,矽統科技股份有限公司,TW
2364,倫飛電腦實業股份有限公司,TW
2365,昆盈企業股份有限公司,TW
2367,燿華電子股份有限公司,TW
2368,金像電子(股)公司,TW
2369,菱生精密工業股份有限公司,TW
2371,大同股份有限公司,TW
2373,震旦行股份有限公司,TW
2374,佳能企業股份有限公司,TW
2375,凱美電機股份有限公司,TW
2376,技嘉科技股份有限公司,TW
2377,微星科技股份有限公司,TW
2379,瑞昱半導體股份有限公司,TW
2380,虹光精密工業股份有限公司,TW
2382,廣達電腦股份有限公司,TW
2383,台光電子材料股份有限公司,TW
2385,群光電子股份有限公司,TW
2387,精元電腦股份有限公司,TW
2388,威盛電子股份有限公司,TW
2390,云辰電子開發股份有限公司,TW
2392,正崴精密工業股份有限公司,TW
2393,億光電子工業股份有限公司,TW
2395,研華股份有限公司,TW
2397,友通資訊股份有限公司,TW
2399,映泰股份有限公司,TW
2401,凌陽科技股份有限公司,TW
2402,毅嘉科技股份有限公司,TW
2404,漢唐集成股份有限公司,TW
2405,輔信科技股份有限公司,TW
2406,國碩科技工業股份有限公司,TW
2408,南亞科技股份有限公司,TW
2409,友達光電股份有限公司,TW
2412,中華電信股份有限公司,TW
2413,環隆科技股份有限公司,TW
2414,精技電腦股份有限公司,TW
2415,錩新科技股份有限公司,TW
2417,圓剛科技股份有限公司,TW
2419,仲琦科技股份有限公司,TW
2420,新巨企業股份有限公司,TW
2421,建準電機工業股份有限公司,TW
2423,固緯電子實業股份有限公司,TW
2424,隴華電子股份有限公司,TW
2425,承啟科技股份有限公司,TW
2426,鼎元光電科技股份有限公司,TW
2427,三商電腦股份有限公司,TW
2428,興勤電子工業股份有限公司,TW
2429,銘旺科技股份有限公司,TW
2430,燦坤實業股份有限公司,TW
2431,聯昌電子企業股份有限公司,TW
2432,倚天酷碁股份有限公司,TW
2433,互盛股份有限公司,TW
